,scientific_name,park_name,observations,category,common_names,conservation_status
72,Lunaria annua,Yellowstone National Park,208,Vascular Plant,"Annual Honesty, Moneyplant",
73,Lunaria annua,Yellowstone National Park,208,Vascular Plant,Annual Honesty,
74,Lunaria annua,Yosemite National Park,146,Vascular Plant,"Annual Honesty, Moneyplant",
75,Lunaria annua,Yosemite National Park,146,Vascular Plant,Annual Honesty,
76,Quercus bicolor,Yosemite National Park,143,Vascular Plant,Swamp White Oak,
77,Quercus bicolor,Great Smoky Mountains National Park,54,Vascular Plant,Swamp White Oak,
78,Quercus bicolor,Yellowstone National Park,231,Vascular Plant,Swamp White Oak,
79,Quercus bicolor,Bryce National Park,96,Vascular Plant,Swamp White Oak,
80,Muhlenbergia rigens,Yosemite National Park,165,Vascular Plant,"Deer Muhly, Deergrass",
81,Muhlenbergia rigens,Bryce National Park,106,Vascular Plant,"Deer Muhly, Deergrass",
82,Muhlenbergia rigens,Great Smoky Mountains National Park,87,Vascular Plant,"Deer Muhly, Deergrass",
83,Muhlenbergia rigens,Yellowstone National Park,239,Vascular Plant,"Deer Muhly, Deergrass",
84,Rubus idaeus ssp. strigosus,Yosemite National Park,150,Vascular Plant,American Red Raspberry,
85,Rubus idaeus ssp. strigosus,Great Smoky Mountains National Park,99,Vascular Plant,American Red Raspberry,
86,Rubus idaeus ssp. strigosus,Yellowstone National Park,245,Vascular Plant,American Red Raspberry,
87,Rubus idaeus ssp. strigosus,Bryce National Park,45,Vascular Plant,American Red Raspberry,
88,Polymnia canadensis,Great Smoky Mountains National Park,80,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",
89,Polymnia canadensis,Yosemite National Park,148,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",
90,Polymnia canadensis,Yellowstone National Park,249,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",
91,Polymnia canadensis,Bryce National Park,81,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",
92,Carduus nutans,Bryce National Park,83,Vascular Plant,Musk Thistle,
93,Carduus nutans,Yellowstone National Park,271,Vascular Plant,Musk Thistle,
94,Carduus nutans,Yosemite National Park,151,Vascular Plant,Musk Thistle,
95,Carduus nutans,Great Smoky Mountains National Park,66,Vascular Plant,Musk Thistle,
96,Ptilium crista-castrensis,Bryce National Park,109,Nonvascular Plant,Knights Plume Moss,
97,Ptilium crista-castrensis,Yosemite National Park,112,Nonvascular Plant,Knights Plume Moss,
98,Ptilium crista-castrensis,Great Smoky Mountains National Park,109,Nonvascular Plant,Knights Plume Moss,
99,Ptilium crista-castrensis,Yellowstone National Park,232,Nonvascular Plant,Knights Plume Moss,
100,Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Western Waterweed,
101,Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Waterweed,
102,Elodea nuttallii,Bryce National Park,120,Vascular Plant,Western Waterweed,
103,Elodea nuttallii,Bryce National Park,120,Vascular Plant,Waterweed,
104,Elodea nuttallii,Yosemite National Park,171,Vascular Plant,Western Waterweed,
105,Elodea nuttallii,Yosemite National Park,171,Vascular Plant,Waterweed,
106,Elodea nuttallii,Bryce National Park,93,Vascular Plant,Western Waterweed,
107,Elodea nuttallii,Bryce National Park,93,Vascular Plant,Waterweed,
108,Elodea nuttallii,Great Smoky Mountains National Park,99,Vascular Plant,Western Waterweed,
109,Elodea nuttallii,Great Smoky Mountains National Park,99,Vascular Plant,Waterweed,
110,Elodea nuttallii,Yellowstone National Park,251,Vascular Plant,Western Waterweed,
111,Elodea nuttallii,Yellowstone National Park,251,Vascular Plant,Waterweed,
112,Elodea nuttallii,Yellowstone National Park,252,Vascular Plant,Western Waterweed,
113,Elodea nuttallii,Yellowstone National Park,252,Vascular Plant,Waterweed,
114,Elodea nuttallii,Great Smoky Mountains National Park,68,Vascular Plant,Western Waterweed,
115,Elodea nuttallii,Great Smoky Mountains National Park,68,Vascular Plant,Waterweed,
116,Larus philadelphia,Yosemite National Park,167,Bird,Bonaparte's Gull,
117,Larus philadelphia,Great Smoky Mountains National Park,61,Bird,Bonaparte's Gull,
118,Larus philadelphia,Bryce National Park,117,Bird,Bonaparte's Gull,
119,Larus philadelphia,Yellowstone National Park,285,Bird,Bonaparte's Gull,
120,Zizia trifoliata,Yosemite National Park,135,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern
121,Zizia trifoliata,Yellowstone National Park,238,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern
122,Zizia trifoliata,Bryce National Park,87,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern
123,Zizia trifoliata,Great Smoky Mountains National Park,80,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern
124,Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
125,Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
126,Amaranthus retroflexus,Bryce National Park,103,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
127,Amaranthus retroflexus,Bryce National Park,103,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
128,Amaranthus retroflexus,Yosemite National Park,121,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
129,Amaranthus retroflexus,Yosemite National Park,121,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
130,Amaranthus retroflexus,Bryce National Park,78,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
131,Amaranthus retroflexus,Bryce National Park,78,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
132,Amaranthus retroflexus,Yellowstone National Park,231,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
133,Amaranthus retroflexus,Yellowstone National Park,231,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
134,Amaranthus retroflexus,Great Smoky Mountains National Park,21,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
135,Amaranthus retroflexus,Great Smoky Mountains National Park,21,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
136,Amaranthus retroflexus,Yosemite National Park,148,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
137,Amaranthus retroflexus,Yosemite National Park,148,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
138,Amaranthus retroflexus,Great Smoky Mountains National Park,86,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",
139,Amaranthus retroflexus,Great Smoky Mountains National Park,86,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",
140,Geranium thunbergii,Yosemite National Park,150,Vascular Plant,Thunberg's Geranium,
141,Geranium thunbergii,Great Smoky Mountains National Park,70,Vascular Plant,Thunberg's Geranium,
142,Geranium thunbergii,Yellowstone National Park,244,Vascular Plant,Thunberg's Geranium,
143,Geranium thunbergii,Bryce National Park,120,Vascular Plant,Thunberg's Geranium,
144,Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Cottongrass Bulrush",
145,Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Woolgrass",
146,Scirpus cyperinus,Bryce National Park,75,Vascular Plant,"Bulrush, Cottongrass Bulrush",
147,Scirpus cyperinus,Bryce National Park,75,Vascular Plant,"Bulrush, Woolgrass",
148,Scirpus cyperinus,Yellowstone National Park,259,Vascular Plant,"Bulrush, Cottongrass Bulrush",
149,Scirpus cyperinus,Yellowstone National Park,259,Vascular Plant,"Bulrush, Woolgrass",
150,Scirpus cyperinus,Bryce National Park,96,Vascular Plant,"Bulrush, Cottongrass Bulrush",
151,Scirpus cyperinus,Bryce National Park,96,Vascular Plant,"Bulrush, Woolgrass",
152,Scirpus cyperinus,Yosemite National Park,166,Vascular Plant,"Bulrush, Cottongrass Bulrush",
153,Scirpus cyperinus,Yosemite National Park,166,Vascular Plant,"Bulrush, Woolgrass",
154,Scirpus cyperinus,Yellowstone National Park,247,Vascular Plant,"Bulrush, Cottongrass Bulrush",
155,Scirpus cyperinus,Yellowstone National Park,247,Vascular Plant,"Bulrush, Woolgrass",
156,Scirpus cyperinus,Yosemite National Park,171,Vascular Plant,"Bulrush, Cottongrass Bulrush",
157,Scirpus cyperinus,Yosemite National Park,171,Vascular Plant,"Bulrush, Woolgrass",
158,Scirpus cyperinus,Great Smoky Mountains National Park,77,Vascular Plant,"Bulrush, Cottongrass Bulrush",
159,Scirpus cyperinus,Great Smoky Mountains National Park,77,Vascular Plant,"Bulrush, Woolgrass",
160,Viola glabella,Yellowstone National Park,261,Vascular Plant,Pioneer Violet,
161,Viola glabella,Bryce National Park,84,Vascular Plant,Pioneer Violet,
162,Viola glabella,Great Smoky Mountains National Park,91,Vascular Plant,Pioneer Violet,
163,Viola glabella,Yosemite National Park,177,Vascular Plant,Pioneer Violet,
164,Scaphiopus holbrookii holbrookii,Yosemite National Park,177,Amphibian,Eastern Spadefoot,
165,Scaphiopus holbrookii holbrookii,Bryce National Park,104,Amphibian,Eastern Spadefoot,
166,Scaphiopus holbrookii holbrookii,Great Smoky Mountains National Park,86,Amphibian,Eastern Spadefoot,
167,Scaphiopus holbrookii holbrookii,Yellowstone National Park,236,Amphibian,Eastern Spadefoot,
168,Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
169,Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
170,Glyceria striata,Yellowstone National Park,268,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
171,Glyceria striata,Yellowstone National Park,268,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
172,Glyceria striata,Yosemite National Park,142,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
173,Glyceria striata,Yosemite National Park,142,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
174,Glyceria striata,Bryce National Park,99,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
175,Glyceria striata,Bryce National Park,99,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
176,Glyceria striata,Great Smoky Mountains National Park,60,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
177,Glyceria striata,Great Smoky Mountains National Park,60,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
178,Glyceria striata,Great Smoky Mountains National Park,83,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
179,Glyceria striata,Great Smoky Mountains National Park,83,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
180,Glyceria striata,Bryce National Park,85,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
181,Glyceria striata,Bryce National Park,85,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
182,Glyceria striata,Yellowstone National Park,281,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",
183,Glyceria striata,Yellowstone National Park,281,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",
184,Veronica cusickii,Bryce National Park,84,Vascular Plant,Cusick's Speedwell,
185,Veronica cusickii,Yosemite National Park,128,Vascular Plant,Cusick's Speedwell,
186,Veronica cusickii,Yellowstone National Park,250,Vascular Plant,Cusick's Speedwell,
187,Veronica cusickii,Great Smoky Mountains National Park,77,Vascular Plant,Cusick's Speedwell,
188,Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,Fineleaf Sheep Fescue,
189,Festuca filiformis,Yellowstone National Park,240,Vascular Plant,Fineleaf Sheep Fescue,
190,Festuca filiformis,Bryce National Park,68,Vascular Plant,Fineleaf Sheep Fescue,
191,Festuca filiformis,Yosemite National Park,177,Vascular Plant,Fineleaf Sheep Fescue,
192,Rosa pinetorum,Bryce National Park,96,Vascular Plant,Pine Rose,
193,Rosa pinetorum,Great Smoky Mountains National Park,73,Vascular Plant,Pine Rose,
194,Rosa pinetorum,Yellowstone National Park,252,Vascular Plant,Pine Rose,
195,Rosa pinetorum,Yosemite National Park,129,Vascular Plant,Pine Rose,
196,Lysimachia nummularia,Yosemite National Park,140,Vascular Plant,"Creeping Jennie, Moneywort",
197,Lysimachia nummularia,Great Smoky Mountains National Park,54,Vascular Plant,"Creeping Jennie, Moneywort",
198,Lysimachia nummularia,Bryce National Park,71,Vascular Plant,"Creeping Jennie, Moneywort",
199,Lysimachia nummularia,Yellowstone National Park,263,Vascular Plant,"Creeping Jennie, Moneywort",
200,Sclerolinon digynum,Bryce National Park,116,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",
201,Sclerolinon digynum,Yellowstone National Park,240,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",
202,Sclerolinon digynum,Yosemite National Park,164,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",
203,Sclerolinon digynum,Great Smoky Mountains National Park,73,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",
204,Camissonia sierrae ssp. alticola,Bryce National Park,84,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
205,Camissonia sierrae ssp. alticola,Yosemite National Park,169,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
206,Camissonia sierrae ssp. alticola,Great Smoky Mountains National Park,95,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
207,Camissonia sierrae ssp. alticola,Yellowstone National Park,201,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
208,Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,Idaho Fescue,
209,Festuca idahoensis,Yosemite National Park,164,Vascular Plant,Idaho Fescue,
210,Festuca idahoensis,Great Smoky Mountains National Park,106,Vascular Plant,Idaho Fescue,
211,Festuca idahoensis,Bryce National Park,102,Vascular Plant,Idaho Fescue,
212,Doellingeria infirma,Yellowstone National Park,262,Vascular Plant,Cornel-Leaf Whitetop,
213,Doellingeria infirma,Great Smoky Mountains National Park,68,Vascular Plant,Cornel-Leaf Whitetop,
214,Doellingeria infirma,Yosemite National Park,166,Vascular Plant,Cornel-Leaf Whitetop,
215,Doellingeria infirma,Bryce National Park,104,Vascular Plant,Cornel-Leaf Whitetop,
216,Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71,Vascular Plant,"Northern White Violet, Smooth White Violet",
217,Viola macloskeyi ssp. pallens,Bryce National Park,107,Vascular Plant,"Northern White Violet, Smooth White Violet",
218,Viola macloskeyi ssp. pallens,Yellowstone National Park,223,Vascular Plant,"Northern White Violet, Smooth White Violet",
219,Viola macloskeyi ssp. pallens,Yosemite National Park,164,Vascular Plant,"Northern White Violet, Smooth White Violet",
220,Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,"Crepping Thistle, Canada Thistle",
221,Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,Canada Thistle,
222,Cirsium arvense,Yellowstone National Park,249,Vascular Plant,"Crepping Thistle, Canada Thistle",
223,Cirsium arvense,Yellowstone National Park,249,Vascular Plant,Canada Thistle,
224,Cirsium arvense,Bryce National Park,122,Vascular Plant,"Crepping Thistle, Canada Thistle",
225,Cirsium arvense,Bryce National Park,122,Vascular Plant,Canada Thistle,
226,Cirsium arvense,Bryce National Park,90,Vascular Plant,"Crepping Thistle, Canada Thistle",
227,Cirsium arvense,Bryce National Park,90,Vascular Plant,Canada Thistle,
228,Cirsium arvense,Great Smoky Mountains National Park,88,Vascular Plant,"Crepping Thistle, Canada Thistle",
229,Cirsium arvense,Great Smoky Mountains National Park,88,Vascular Plant,Canada Thistle,
230,Cirsium arvense,Yellowstone National Park,241,Vascular Plant,"Crepping Thistle, Canada Thistle",
231,Cirsium arvense,Yellowstone National Park,241,Vascular Plant,Canada Thistle,
232,Cirsium arvense,Yosemite National Park,166,Vascular Plant,"Crepping Thistle, Canada Thistle",
233,Cirsium arvense,Yosemite National Park,166,Vascular Plant,Canada Thistle,
234,Cirsium arvense,Yosemite National Park,153,Vascular Plant,"Crepping Thistle, Canada Thistle",
235,Cirsium arvense,Yosemite National Park,153,Vascular Plant,Canada Thistle,
236,Elaeagnus umbellata,Yosemite National Park,176,Vascular Plant,Autumn Olive,
237,Elaeagnus umbellata,Great Smoky Mountains National Park,85,Vascular Plant,Autumn Olive,
238,Elaeagnus umbellata,Bryce National Park,102,Vascular Plant,Autumn Olive,
239,Elaeagnus umbellata,Yellowstone National Park,237,Vascular Plant,Autumn Olive,
240,Cornus alternifolia,Yosemite National Park,148,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
241,Cornus alternifolia,Great Smoky Mountains National Park,61,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
242,Cornus alternifolia,Bryce National Park,122,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
243,Cornus alternifolia,Yellowstone National Park,237,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
244,Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,Common Purslane,
245,Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
246,Portulaca oleracea,Bryce National Park,108,Vascular Plant,Common Purslane,
247,Portulaca oleracea,Bryce National Park,108,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
248,Portulaca oleracea,Yellowstone National Park,233,Vascular Plant,Common Purslane,
249,Portulaca oleracea,Yellowstone National Park,233,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
250,Portulaca oleracea,Yosemite National Park,130,Vascular Plant,Common Purslane,
251,Portulaca oleracea,Yosemite National Park,130,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
252,Portulaca oleracea,Yosemite National Park,141,Vascular Plant,Common Purslane,
253,Portulaca oleracea,Yosemite National Park,141,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
254,Portulaca oleracea,Bryce National Park,116,Vascular Plant,Common Purslane,
255,Portulaca oleracea,Bryce National Park,116,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
256,Portulaca oleracea,Yellowstone National Park,258,Vascular Plant,Common Purslane,
257,Portulaca oleracea,Yellowstone National Park,258,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
258,Portulaca oleracea,Great Smoky Mountains National Park,93,Vascular Plant,Common Purslane,
259,Portulaca oleracea,Great Smoky Mountains National Park,93,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",
260,Solidago missouriensis var. missouriensis,Bryce National Park,112,Vascular Plant,Missouri Goldenrod,
261,Solidago missouriensis var. missouriensis,Yellowstone National Park,244,Vascular Plant,Missouri Goldenrod,
262,Solidago missouriensis var. missouriensis,Great Smoky Mountains National Park,101,Vascular Plant,Missouri Goldenrod,
263,Solidago missouriensis var. missouriensis,Yosemite National Park,122,Vascular Plant,Missouri Goldenrod,
264,Silene parryi,Great Smoky Mountains National Park,68,Vascular Plant,Parry's Silene,
265,Silene parryi,Bryce National Park,114,Vascular Plant,Parry's Silene,
266,Silene parryi,Yosemite National Park,149,Vascular Plant,Parry's Silene,
267,Silene parryi,Yellowstone National Park,252,Vascular Plant,Parry's Silene,
268,Itea virginica,Yellowstone National Park,235,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",
269,Itea virginica,Yosemite National Park,157,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",
270,Itea virginica,Great Smoky Mountains National Park,99,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",
271,Itea virginica,Bryce National Park,114,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",
272,Ammoselinum butleri,Yellowstone National Park,283,Vascular Plant,Butler's Sandparsley,
273,Ammoselinum butleri,Great Smoky Mountains National Park,86,Vascular Plant,Butler's Sandparsley,
274,Ammoselinum butleri,Yosemite National Park,179,Vascular Plant,Butler's Sandparsley,
275,Ammoselinum butleri,Bryce National Park,112,Vascular Plant,Butler's Sandparsley,
276,Platycladus orientalis,Great Smoky Mountains National Park,25,Vascular Plant,Oriental White Cedar,
277,Platycladus orientalis,Bryce National Park,55,Vascular Plant,Oriental White Cedar,
